"item","group","list","cond"
"101","G1","listA","regular"
"101","G1","listC","semv"
"101","G1","listB","syntv"
"102","G1","listA","regular"
"102","G1","listC","semv"
"102","G1","listB","syntv"
"105","G1","listA","regular"
"105","G1","listC","semv"
"105","G1","listB","syntv"
"107","G1","listA","regular"
"107","G1","listC","semv"
"107","G1","listB","syntv"
"108","G1","listA","regular"
"108","G1","listC","semv"
"108","G1","listB","syntv"
"109","G1","listA","regular"
"109","G1","listC","semv"
"109","G1","listB","syntv"
"116","G1","listA","regular"
"116","G1","listC","semv"
"116","G1","listB","syntv"
"123","G1","listA","regular"
"123","G1","listC","semv"
"123","G1","listB","syntv"
"125","G1","listA","regular"
"125","G1","listC","semv"
"125","G1","listB","syntv"
"127","G1","listA","regular"
"127","G1","listC","semv"
"127","G1","listB","syntv"
"132","G1","listA","regular"
"132","G1","listC","semv"
"132","G1","listB","syntv"
"136","G1","listA","regular"
"136","G1","listC","semv"
"136","G1","listB","syntv"
"103","G2","listB","regular"
"103","G2","listA","semv"
"103","G2","listC","syntv"
"112","G2","listB","regular"
"112","G2","listA","semv"
"112","G2","listC","syntv"
"113","G2","listB","regular"
"113","G2","listA","semv"
"113","G2","listC","syntv"
"115","G2","listB","regular"
"115","G2","listA","semv"
"115","G2","listC","syntv"
"118","G2","listB","regular"
"118","G2","listA","semv"
"118","G2","listC","syntv"
"119","G2","listB","regular"
"119","G2","listA","semv"
"119","G2","listC","syntv"
"120","G2","listB","regular"
"120","G2","listA","semv"
"120","G2","listC","syntv"
"121","G2","listB","regular"
"121","G2","listA","semv"
"121","G2","listC","syntv"
"129","G2","listB","regular"
"129","G2","listA","semv"
"129","G2","listC","syntv"
"133","G2","listB","regular"
"133","G2","listA","semv"
"133","G2","listC","syntv"
"134","G2","listB","regular"
"134","G2","listA","semv"
"134","G2","listC","syntv"
"138","G2","listB","regular"
"138","G2","listA","semv"
"138","G2","listC","syntv"
"104","G3","listC","regular"
"104","G3","listB","semv"
"104","G3","listA","syntv"
"106","G3","listC","regular"
"106","G3","listB","semv"
"106","G3","listA","syntv"
"110","G3","listC","regular"
"110","G3","listB","semv"
"110","G3","listA","syntv"
"111","G3","listC","regular"
"111","G3","listB","semv"
"111","G3","listA","syntv"
"114","G3","listC","regular"
"114","G3","listB","semv"
"114","G3","listA","syntv"
"117","G3","listC","regular"
"117","G3","listB","semv"
"117","G3","listA","syntv"
"122","G3","listC","regular"
"122","G3","listB","semv"
"122","G3","listA","syntv"
"124","G3","listC","regular"
"124","G3","listB","semv"
"124","G3","listA","syntv"
"126","G3","listC","regular"
"126","G3","listB","semv"
"126","G3","listA","syntv"
"128","G3","listC","regular"
"128","G3","listB","semv"
"128","G3","listA","syntv"
"135","G3","listC","regular"
"135","G3","listB","semv"
"135","G3","listA","syntv"
"137","G3","listC","regular"
"137","G3","listB","semv"
"137","G3","listA","syntv"
