"item","group","list","cond"
"101","G1","listA","regular"
"101","G1","listC","semv"
"101","G1","listB","syntv"
"103","G1","listA","regular"
"103","G1","listC","semv"
"103","G1","listB","syntv"
"105","G1","listA","regular"
"105","G1","listC","semv"
"105","G1","listB","syntv"
"109","G1","listA","regular"
"109","G1","listC","semv"
"109","G1","listB","syntv"
"112","G1","listA","regular"
"112","G1","listC","semv"
"112","G1","listB","syntv"
"123","G1","listA","regular"
"123","G1","listC","semv"
"123","G1","listB","syntv"
"126","G1","listA","regular"
"126","G1","listC","semv"
"126","G1","listB","syntv"
"128","G1","listA","regular"
"128","G1","listC","semv"
"128","G1","listB","syntv"
"132","G1","listA","regular"
"132","G1","listC","semv"
"132","G1","listB","syntv"
"134","G1","listA","regular"
"134","G1","listC","semv"
"134","G1","listB","syntv"
"136","G1","listA","regular"
"136","G1","listC","semv"
"136","G1","listB","syntv"
"138","G1","listA","regular"
"138","G1","listC","semv"
"138","G1","listB","syntv"
"102","G2","listB","regular"
"102","G2","listA","semv"
"102","G2","listC","syntv"
"107","G2","listB","regular"
"107","G2","listA","semv"
"107","G2","listC","syntv"
"110","G2","listB","regular"
"110","G2","listA","semv"
"110","G2","listC","syntv"
"115","G2","listB","regular"
"115","G2","listA","semv"
"115","G2","listC","syntv"
"119","G2","listB","regular"
"119","G2","listA","semv"
"119","G2","listC","syntv"
"121","G2","listB","regular"
"121","G2","listA","semv"
"121","G2","listC","syntv"
"122","G2","listB","regular"
"122","G2","listA","semv"
"122","G2","listC","syntv"
"124","G2","listB","regular"
"124","G2","listA","semv"
"124","G2","listC","syntv"
"125","G2","listB","regular"
"125","G2","listA","semv"
"125","G2","listC","syntv"
"129","G2","listB","regular"
"129","G2","listA","semv"
"129","G2","listC","syntv"
"135","G2","listB","regular"
"135","G2","listA","semv"
"135","G2","listC","syntv"
"137","G2","listB","regular"
"137","G2","listA","semv"
"137","G2","listC","syntv"
"104","G3","listC","regular"
"104","G3","listB","semv"
"104","G3","listA","syntv"
"106","G3","listC","regular"
"106","G3","listB","semv"
"106","G3","listA","syntv"
"111","G3","listC","regular"
"111","G3","listB","semv"
"111","G3","listA","syntv"
"113","G3","listC","regular"
"113","G3","listB","semv"
"113","G3","listA","syntv"
"114","G3","listC","regular"
"114","G3","listB","semv"
"114","G3","listA","syntv"
"116","G3","listC","regular"
"116","G3","listB","semv"
"116","G3","listA","syntv"
"118","G3","listC","regular"
"118","G3","listB","semv"
"118","G3","listA","syntv"
"120","G3","listC","regular"
"120","G3","listB","semv"
"120","G3","listA","syntv"
"127","G3","listC","regular"
"127","G3","listB","semv"
"127","G3","listA","syntv"
"130","G3","listC","regular"
"130","G3","listB","semv"
"130","G3","listA","syntv"
"131","G3","listC","regular"
"131","G3","listB","semv"
"131","G3","listA","syntv"
"133","G3","listC","regular"
"133","G3","listB","semv"
"133","G3","listA","syntv"
